Address_code,X_Coordinates,Y_Coordinates,SAND,SILT,CLAY
648 G.B.T,73.48609924,31.33919907,16.5,61,22.5
647 G.B.T,73.56790161,31.29369926,20.5,41.5,38
569 G.B.T,73.56590271,31.33359909,26.5,45.5,28
643 G.B.T,73.62229919,31.35050011,43.5,29,27.5
235 G.B.C,73.48809814,31.39920044,20.5,50.5,29
563 G.B.T,73.6207962,31.41130066,29,48,23
59 GB.T,73.43190002,31.41600037,36,41.5,22.5
635 GB.C,73.54799652,31.40979958,3.5,52,44.5
99 RB.C,73.36779785,31.47480011,39,34,27
95 RB.C,73.43599701,31.47459984,44,25.5,30.5
90 RB.T,73.43039703,31.54850006,40,34.5,25.5
52 RB.T,73.42359924,31.61070061,36.5,43,20.5
68 RB.C,73.36699677,31.54089928,28,38,34
77 RB.C,73.30280304,31.48380089,35.5,34,30.5
103 GB.T,73.36640167,31.41049957,46.5,24.5,29
61 GB.T,73.4334238,31.3723466,41.5,32,26.5
2 GB.T,73.50039673,31.29170036,44,34.5,21.5
274 GB.T,73.36720276,31.16539955,29,43,28
633 GB.T,73.49539948,31.22570038,29,43,28
89 GB.C,73.17960358,31.22060013,43,39,18
229 GB.C,73.24569702,31.14850044,20,52,28
34 GB.C,73.24130249,31.28389931,59.5,20,20.5
116 GB.T,73.23439789,31.22170067,44,28,28
24 GB.C,73.31369781,31.27499962,36.5,44.5,19
353 GB.C,73.43890381,31.28540039,41,35,24
384 GB.T,73.36640167,31.2227993,33.5,38.5,28
CM .T,73.42829895,31.1753006,19.5,49,31.5
378 GB.T,73.41770172,31.2343998,9.5,69,21.5
277 GB.T,73.30899811,31.17210007,52,29,19
112 GB.T,73.37000275,31.3397007,34.5,24,41.5
113 GB.T,73.25090027,31.34989929,38,33,29
221 RB.C,73.24790192,31.41860008,29,65,6
65 GB.T,73.3010025,31.34560013,46.5,27.5,26
105 GB.C,73.30699921,31.41200066,41.5,35.5,23
282 GB.T,73.30819702,31.22640038,42,37,21
21 GB.C,73.37110138,31.29470062,37.5,41.5,21
RP .T,73.61430359,31.29570007,41,30,29
DS .T,73.54250336,31.2241993,30,29,41
365 GB.T,73.31520081,31.10759926,34,43,23
63 RB.C,73.37039948,31.59320068,28,44.5,27.5
