"","Address_code","SAND","SILT","CLAY","Texture_Class"
"1","648 G.B.T",16.5,61,22.5,"SiLo"
"2","647 G.B.T",20.5,41.5,38,"ClLo"
"3","569 G.B.T",26.5,45.5,28,"ClLo"
"4","643 G.B.T",43.5,29,27.5,"Lo"
"5","235 G.B.C",20.5,50.5,29,"ClLo"
"6","563 G.B.T",29,48,23,"Lo"
"7","59 GB.T",36,41.5,22.5,"Lo"
"8","635 GB.C",3.5,52,44.5,"SiCl"
"9","99 RB.C",39,34,27,"Lo"
"10","95 RB.C",44,25.5,30.5,"ClLo"
"11","90 RB.T",40,34.5,25.5,"Lo"
"12","52 RB.T",36.5,43,20.5,"Lo"
"13","68 RB.C",28,38,34,"ClLo"
"14","77 RB.C",35.5,34,30.5,"ClLo"
"15","103 GB.T",46.5,24.5,29,"SaClLo"
"16","61 GB.T",41.5,32,26.5,"Lo"
"17","2 GB.T",44,34.5,21.5,"Lo"
"18","274 GB.T",29,43,28,"ClLo"
"19","633 GB.T",29,43,28,"ClLo"
"20","89 GB.C",43,39,18,"Lo"
"21","229 GB.C",20,52,28,"ClLo"
"22","34 GB.C",59.5,20,20.5,"SaClLo"
"23","116 GB.T",44,28,28,"ClLo"
"24","24 GB.C",36.5,44.5,19,"Lo"
"25","353 GB.C",41,35,24,"Lo"
"26","384 GB.T",33.5,38.5,28,"ClLo"
"27","CM .T",19.5,49,31.5,"SiClLo"
"28","378 GB.T",9.5,69,21.5,"SiLo"
"29","277 GB.T",52,29,19,"Lo"
"30","112 GB.T",34.5,24,41.5,"Cl"
"31","113 GB.T",38,33,29,"ClLo"
"32","221 RB.C",29,65,6,"SiLo"
"33","65 GB.T",46.5,27.5,26,"SaClLo"
"34","105 GB.C",41.5,35.5,23,"Lo"
"35","282 GB.T",42,37,21,"Lo"
"36","21 GB.C",37.5,41.5,21,"Lo"
"37","RP .T",41,30,29,"ClLo"
"38","DS .T",30,29,41,"Cl"
"39","365 GB.T",34,43,23,"Lo"
"40","63 RB.C",28,44.5,27.5,"Lo"
